"job_id","company_id","company_name","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date"
226942,319998,"Mantys","Data Analyst","Anywhere","Full-time","650000.0","2023-02-20"
547382,21,"Meta","Director of Analytics","Anywhere","Full-time","336500.0","2023-08-23"
552322,5835,"AT&T","Associate Director- Data Insights","Anywhere","Full-time","255829.5","2023-06-18"
99305,183972,"Pinterest Job Advertisements","Data Analyst, Marketing","Anywhere","Full-time","232423.0","2023-12-05"
1021647,381287,"Uclahealthcareers","Data Analyst (Hybrid/Remote)","Anywhere","Full-time","217000.0","2023-01-17"
168310,19724,"SmartAsset","Principal Data Analyst (Remote)","Anywhere","Full-time","205000.0","2023-08-09"
731368,1261,"Inclusively","Director, Data Analyst - HYBRID","Anywhere","Full-time","189309.0","2023-12-07"
310660,4707,"Motional","Principal Data Analyst, AV Performance Analysis","Anywhere","Full-time","189000.0","2023-01-05"
1749593,19724,"SmartAsset","Principal Data Analyst","Anywhere","Full-time","186000.0","2023-07-11"
387860,2686,"Get It Recruit - Information Technology","ERM Data Analyst","Anywhere","Full-time","184000.0","2023-06-09"
