"skill_id","skill_name","skill_type","skill_count","avg_salary"
8,"go","programming","27","115320"
234,"confluence","async","11","114210"
97,"hadoop","libraries","22","113193"
80,"snowflake","cloud","37","112948"
74,"azure","cloud","34","111225"
77,"bigquery","cloud","13","109654"
76,"aws","cloud","32","108317"
4,"java","programming","17","106906"
194,"ssis","analyst_tools","12","106683"
233,"jira","async","20","104918"
79,"oracle","cloud","37","104534"
185,"looker","analyst_tools","49","103795"
2,"nosql","programming","13","101414"
1,"python","programming","236","101397"
5,"r","programming","148","100499"
78,"redshift","cloud","16","99936"
187,"qlik","analyst_tools","13","99631"
182,"tableau","analyst_tools","230","99288"
197,"ssrs","analyst_tools","14","99171"
92,"spark","libraries","13","99077"
13,"c++","programming","11","98958"
186,"sas","analyst_tools","63","98902"
7,"sas","programming","63","98902"
61,"sql server","databases","35","97786"
9,"javascript","programming","20","97587"
